"match_id","home_team","home_score","away_score","away_team","date"
"313","Blues",18,39,"Stormers","2000-04-08 13:00:00"
"314","Chiefs",30,37,"Waratahs","2000-04-09 13:00:00"
"315","Reds",37,24,"Stormers","2000-04-14 13:00:00"
"316","Blues",26,16,"Highlanders","2000-04-14 13:00:00"
"317","Sharks",24,32,"Crusaders","2000-04-15 13:00:00"
"318","Waratahs",30,25,"Brumbies","2000-04-15 13:00:00"
"319","Chiefs",40,7,"Bulls","2000-04-15 13:00:00"
"320","Highlanders",38,6,"Chiefs","2000-04-20 13:00:00"
"321","Brumbies",47,28,"Hurricanes","2000-04-21 13:00:00"
"322","Sharks",13,24,"Reds","2000-04-22 13:00:00"
"323","Cats",54,31,"Crusaders","2000-04-22 13:00:00"
"324","Blues",54,11,"Bulls","2000-04-22 13:00:00"
"325","Crusaders",75,27,"Bulls","2000-04-28 13:00:00"
"326","Stormers",27,13,"Highlanders","2000-04-29 13:00:00"
"327","Cats",36,32,"Reds","2000-04-29 13:00:00"
"328","Waratahs",20,27,"Hurricanes","2000-04-29 13:00:00"
"329","Chiefs",17,45,"Brumbies","2000-04-29 13:00:00"
"330","Sharks",19,30,"Blues","2000-04-30 13:00:00"
"331","Cats",34,27,"Blues","2000-05-05 13:00:00"
"332","Crusaders",22,13,"Waratahs","2000-05-05 13:00:00"
"333","Sharks",31,44,"Chiefs","2000-05-06 13:00:00"
"334","Bulls",40,42,"Highlanders","2000-05-06 13:00:00"
"335","Brumbies",38,32,"Reds","2000-05-06 13:00:00"
"336","Stormers",43,23,"Hurricanes","2000-05-07 13:00:00"
"337","Bulls",47,33,"Hurricanes","2000-05-12 13:00:00"
"338","Waratahs",22,15,"Highlanders","2000-05-12 13:00:00"
"339","Crusaders",12,17,"Brumbies","2000-05-12 13:00:00"
"340","Cats",53,3,"Chiefs","2000-05-13 13:00:00"
"341","Sharks",28,32,"Stormers","2000-05-13 13:00:00"
"342","Reds",33,26,"Blues","2000-05-13 13:00:00"
"343","Brumbies",28,5,"Cats","2000-05-20 13:00:00"
"344","Crusaders",37,15,"Highlanders","2000-05-20 13:00:00"
"345","Brumbies",19,20,"Crusaders","2000-05-27 13:00:00"
"346","Sharks",30,17,"Bulls","2001-02-23 13:00:00"
"347","Brumbies",51,16,"Crusaders","2001-02-23 13:00:00"
"348","Highlanders",23,8,"Blues","2001-02-23 13:00:00"
"349","Stormers",24,29,"Cats","2001-02-24 13:00:00"
"350","Reds",27,18,"Hurricanes","2001-02-24 13:00:00"
"351","Waratahs",42,23,"Chiefs","2001-02-24 13:00:00"
"352","Blues",17,12,"Crusaders","2001-03-02 13:00:00"
"353","Cats",56,21,"Highlanders","2001-03-03 13:00:00"
"354","Sharks",17,16,"Brumbies","2001-03-03 13:00:00"
"355","Chiefs",32,29,"Reds","2001-03-03 13:00:00"
"356","Hurricanes",26,20,"Bulls","2001-03-03 13:00:00"
"357","Waratahs",35,7,"Stormers","2001-03-04 13:00:00"
"358","Hurricanes",15,27,"Stormers","2001-03-09 13:00:00"
"359","Sharks",30,29,"Highlanders","2001-03-10 13:00:00"
"360","Cats",17,19,"Brumbies","2001-03-10 13:00:00"
"361","Waratahs",53,7,"Bulls","2001-03-10 13:00:00"
"362","Crusaders",40,11,"Chiefs","2001-03-10 13:00:00"
"363","Blues",39,35,"Reds","2001-03-11 13:00:00"
"364","Chiefs",34,16,"Blues","2001-03-16 13:00:00"
"365","Sharks",39,21,"Hurricanes","2001-03-17 13:00:00"
"366","Cats",28,21,"Waratahs","2001-03-17 13:00:00"
"367","Brumbies",39,30,"Bulls","2001-03-17 13:00:00"
"368","Highlanders",24,23,"Stormers","2001-03-18 13:00:00"
"369","Cats",18,15,"Hurricanes","2001-03-23 13:00:00"
"370","Crusaders",32,26,"Reds","2001-03-23 13:00:00"
"371","Sharks",42,17,"Waratahs","2001-03-24 13:00:00"
"372","Brumbies",40,25,"Stormers","2001-03-24 13:00:00"
"373","Highlanders",32,10,"Bulls","2001-03-24 13:00:00"
"374","Cats",26,25,"Sharks","2001-03-30 13:00:00"
"375","Reds",15,23,"Brumbies","2001-03-30 13:00:00"
"376","Chiefs",50,19,"Highlanders","2001-03-30 13:00:00"
"377","Waratahs",35,19,"Blues","2001-03-31 13:00:00"
"378","Crusaders",29,41,"Hurricanes","2001-03-31 13:00:00"
"379","Hurricanes",34,19,"Brumbies","2001-04-06 13:00:00"
"380","Stormers",29,27,"Reds","2001-04-07 13:00:00"
"381","Highlanders",39,20,"Waratahs","2001-04-07 13:00:00"
"382","Blues",27,41,"Sharks","2001-04-07 13:00:00"
"383","Bulls",29,42,"Crusaders","2001-04-08 13:00:00"
"384","Chiefs",22,18,"Cats","2001-04-08 13:00:00"
"385","Brumbies",48,21,"Waratahs","2001-04-13 13:00:00"
"386","Blues",23,26,"Cats","2001-04-13 13:00:00"
"387","Stormers",49,28,"Crusaders","2001-04-14 13:00:00"
"388","Bulls",19,29,"Reds","2001-04-14 13:00:00"
"389","Chiefs",8,24,"Sharks","2001-04-14 13:00:00"
"390","Hurricanes",35,33,"Highlanders","2001-04-14 13:00:00"
"391","Highlanders",16,9,"Brumbies","2001-04-20 13:00:00"
"392","Stormers",12,26,"Blues","2001-04-21 13:00:00"
"393","Bulls",37,49,"Chiefs","2001-04-21 13:00:00"
"394","Reds",32,27,"Sharks","2001-04-22 13:00:00"
"395","Crusaders",31,32,"Cats","2001-04-22 13:00:00"
"396","Stormers",29,15,"Chiefs","2001-04-27 13:00:00"
"397","Hurricanes",42,17,"Waratahs","2001-04-27 13:00:00"
"398","Bulls",28,25,"Blues","2001-04-28 13:00:00"
"399","Reds",22,16,"Cats","2001-04-28 13:00:00"
"400","Crusaders",34,24,"Sharks","2001-04-28 13:00:00"
"401","Hurricanes",27,51,"Chiefs","2001-05-04 13:00:00"
"402","Bulls",23,34,"Stormers","2001-05-05 13:00:00"
"403","Waratahs",25,22,"Crusaders","2001-05-05 13:00:00"
"404","Blues",7,35,"Brumbies","2001-05-05 13:00:00"
"405","Reds",33,22,"Highlanders","2001-05-06 13:00:00"
"406","Cats",19,21,"Bulls","2001-05-11 13:00:00"
"407","Brumbies",49,6,"Chiefs","2001-05-11 13:00:00"
"408","Blues",36,17,"Hurricanes","2001-05-11 13:00:00"
"409","Stormers",19,23,"Sharks","2001-05-12 13:00:00"
"410","Waratahs",20,25,"Reds","2001-05-12 13:00:00"
"411","Highlanders",26,21,"Crusaders","2001-05-12 13:00:00"
"412","Sharks",30,12,"Cats","2001-05-19 13:00:00"
"413","Brumbies",30,6,"Reds","2001-05-19 13:00:00"
"414","Brumbies",36,6,"Sharks","2001-05-26 13:00:00"
"415","Sharks",18,25,"Stormers","2002-02-22 13:00:00"
"416","Hurricanes",7,60,"Blues","2002-02-22 13:00:00"
"417","Chiefs",25,42,"Waratahs","2002-02-23 13:00:00"
"418","Bulls",31,44,"Cats","2002-02-23 13:00:00"
"419","Brumbies",29,19,"Reds","2002-02-23 13:00:00"
"420","Crusaders",30,28,"Highlanders","2002-02-23 13:00:00"
"421","Chiefs",27,34,"Crusaders","2002-03-01 13:00:00"
"422","Bulls",18,37,"Hurricanes","2002-03-02 13:00:00"
"423","Stormers",25,26,"Waratahs","2002-03-02 13:00:00"
"424","Reds",34,23,"Blues","2002-03-02 13:00:00"
"425","Brumbies",64,16,"Cats","2002-03-02 13:00:00"
